kata_typo,kata_benar,ini_typo,ini_baku,ini_valid,value
yang,yang,TIDAK,YA,YA,0
pada,pada,TIDAK,YA,YA,0
akan,akan,TIDAK,YA,YA,0
dan,dan,TIDAK,YA,YA,0
kata,kata,TIDAK,YA,YA,0
aplikasi,aplikasi,TIDAK,YA,YA,0
untuk,untuk,TIDAK,YA,YA,0
q,q,TIDAK,YA,YA,0
ini,ini,TIDAK,YA,YA,0
learning,-,YA,TIDAK,TIDAK,0
tersebut,tersebut,TIDAK,YA,YA,0
dapat,dapat,TIDAK,YA,YA,0
metode,metode,TIDAK,YA,YA,0
dengan,dengan,TIDAK,YA,YA,0
pengecekan,pengecekan,TIDAK,YA,YA,0
bisa,bisa,TIDAK,YA,YA,0
berdasarkan,berdasarkan,TIDAK,YA,YA,0
diberikan,beri,YA,YA,TIDAK,0
python,-,YA,TIDAK,TIDAK,0
dalam,dalam,TIDAK,YA,YA,0
dari,dari,TIDAK,YA,YA,0
koreksi,koreksi,TIDAK,YA,YA,0
hasil,hasil,TIDAK,YA,YA,0
menggunakan,menggunakan,TIDAK,YA,YA,0
digunakan,guna,YA,YA,TIDAK,0
game,-,YA,TIDAK,TIDAK,0
penelitian,penelitian,TIDAK,YA,YA,0
bahasa,bahasa,TIDAK,YA,YA,0
memberikan,memberikan,TIDAK,YA,YA,0
laporan,laporan,TIDAK,YA,YA,0
dipilih,pilih,YA,YA,TIDAK,0
jika,jika,TIDAK,YA,YA,0
setiap,setiap,TIDAK,YA,YA,0
kesalahan,kesalahan,TIDAK,YA,YA,0
sehingga,sehingga,TIDAK,YA,YA,0
tertinggi,tertinggi,TIDAK,YA,YA,0
seperti,seperti,TIDAK,YA,YA,0
rute,rute,TIDAK,YA,YA,0
karena,karena,TIDAK,YA,YA,0
dibuat,buat,YA,YA,TIDAK,0
memiliki,memiliki,TIDAK,YA,YA,0
memiliki,memiliki,TIDAK,YA,YA,0
pemrograman,pemrograman,TIDAK,YA,YA,0
melihat,melihat,TIDAK,YA,YA,0
pemrograman,pemrograman,TIDAK,YA,YA,0
melihat,melihat,TIDAK,YA,YA,0
typo,-,YA,TIDAK,TIDAK,0
typo,-,YA,TIDAK,TIDAK,0
melakukan,melakukan,TIDAK,YA,YA,0
melakukan,melakukan,TIDAK,YA,YA,0
pendeteksian,pendeteksian,TIDAK,YA,YA,0
pendeteksian,pendeteksian,TIDAK,YA,YA,0
pengguna,pengguna,TIDAK,YA,YA,0
pengguna,pengguna,TIDAK,YA,YA,0
selanjutnya,selanjutnya,TIDAK,YA,YA,0
sudah,sudah,TIDAK,YA,YA,0
selanjutnya,selanjutnya,TIDAK,YA,YA,0
baik,baik,TIDAK,YA,YA,0
sudah,sudah,TIDAK,YA,YA,0
salah,salah,TIDAK,YA,YA,0
sistem,sistem,TIDAK,YA,YA,0
lingkungan,lingkungan,TIDAK,YA,YA,0
baik,baik,TIDAK,YA,YA,0
belajar,belajar,TIDAK,YA,YA,0
salah,salah,TIDAK,YA,YA,0
sistem,sistem,TIDAK,YA,YA,0
reward,-,YA,TIDAK,TIDAK,0
lingkungan,lingkungan,TIDAK,YA,YA,0
nilai,nilai,TIDAK,YA,YA,0
belajar,belajar,TIDAK,YA,YA,0
robot,robot,TIDAK,YA,YA,0
pencarian,pencarian,TIDAK,YA,YA,0
reward,-,YA,TIDAK,TIDAK,0
nilai,nilai,TIDAK,YA,YA,0
maze,-,YA,TIDAK,TIDAK,0
robot,robot,TIDAK,YA,YA,0
pencarian,pencarian,TIDAK,YA,YA,0
flappy,-,YA,TIDAK,TIDAK,0
maze,-,YA,TIDAK,TIDAK,0
bird,-,YA,TIDAK,TIDAK,0
flappy,-,YA,TIDAK,TIDAK,0
diterapkan,terap,YA,YA,TIDAK,0
bird,-,YA,TIDAK,TIDAK,0
value,-,YA,TIDAK,TIDAK,0
tidak,tidak,TIDAK,YA,YA,0
diterapkan,terap,YA,YA,TIDAK,0
tapi,tapi,TIDAK,YA,YA,0
terlebih,terlebih,TIDAK,YA,YA,0
value,-,YA,TIDAK,TIDAK,0
tersedia,tersedia,TIDAK,YA,YA,0
tidak,tidak,TIDAK,YA,YA,0
banyak,banyak,TIDAK,YA,YA,0
tapi,tapi,TIDAK,YA,YA,0
pustaka,pustaka,TIDAK,YA,YA,0
terlebih,terlebih,TIDAK,YA,YA,0
de,de,TIDAK,YA,YA,0
tersedia,tersedia,TIDAK,YA,YA,0
la,la,TIDAK,YA,YA,0
banyak,banyak,TIDAK,YA,YA,0
pustaka,pustaka,TIDAK,YA,YA,0
de,de,TIDAK,YA,YA,0
salle,-,YA,TIDAK,TIDAK,0
la,la,TIDAK,YA,YA,0
masalah,masalah,TIDAK,YA,YA,0
penulis,penulis,TIDAK,YA,YA,0
salle,-,YA,TIDAK,TIDAK,0
solusi,solusi,TIDAK,YA,YA,0
masalah,masalah,TIDAK,YA,YA,0
membuat,membuat,TIDAK,YA,YA,0
penulis,penulis,TIDAK,YA,YA,0
solusi,solusi,TIDAK,YA,YA,0
sebuah,buah,YA,YA,TIDAK,0
membuat,membuat,TIDAK,YA,YA,0
mendeteksi,mendeteksi,TIDAK,YA,YA,0
teks,teks,TIDAK,YA,YA,0
sebuah,buah,YA,YA,TIDAK,0
atau,atau,TIDAK,YA,YA,0
mendeteksi,mendeteksi,TIDAK,YA,YA,0
dokumen,dokumen,TIDAK,YA,YA,0
teks,teks,TIDAK,YA,YA,0
atau,atau,TIDAK,YA,YA,0
ditemukan,temu,YA,YA,TIDAK,0
dokumen,dokumen,TIDAK,YA,YA,0
baru,baru,TIDAK,YA,YA,0
ditemukan,temu,YA,YA,TIDAK,0
disimpan,simpan,YA,YA,TIDAK,0
disimpan,simpan,YA,YA,TIDAK,0
baru,baru,TIDAK,YA,YA,0
disimpan,simpan,YA,YA,TIDAK,0
dataset,-,YA,TIDAK,TIDAK,0
dataset,-,YA,TIDAK,TIDAK,0
terjadi,terjadi,TIDAK,YA,YA,0
terjadi,terjadi,TIDAK,YA,YA,0
sama,sama,TIDAK,YA,YA,0
dataset,-,YA,TIDAK,TIDAK,0
sama,sama,TIDAK,YA,YA,0
terjadi,terjadi,TIDAK,YA,YA,0
dikenali,nali,YA,YA,TIDAK,0
sama,sama,TIDAK,YA,YA,0
dikenali,nali,YA,YA,TIDAK,0
menghasilkan,menghasilkan,TIDAK,YA,YA,0
menghasilkan,menghasilkan,TIDAK,YA,YA,0
deteksi,deteksi,TIDAK,YA,YA,0
deteksi,deteksi,TIDAK,YA,YA,0
dikenali,nali,YA,YA,TIDAK,0
lebih,lebih,TIDAK,YA,YA,0
lebih,lebih,TIDAK,YA,YA,0
menghasilkan,menghasilkan,TIDAK,YA,YA,0
adalah,adalah,TIDAK,YA,YA,0
adalah,adalah,TIDAK,YA,YA,0
deteksi,deteksi,TIDAK,YA,YA,0
satu,satu,TIDAK,YA,YA,0
satu,satu,TIDAK,YA,YA,0
lebih,lebih,TIDAK,YA,YA,0
adalah,adalah,TIDAK,YA,YA,0
reiforement,-,YA,TIDAK,TIDAK,0
reiforement,-,YA,TIDAK,TIDAK,0
satu,satu,TIDAK,YA,YA,0
cara,cara,TIDAK,YA,YA,0
cara,cara,TIDAK,YA,YA,0
reiforement,-,YA,TIDAK,TIDAK,0
kerjanya,kerja,YA,YA,TIDAK,0
kerjanya,kerja,YA,YA,TIDAK,0
cara,cara,TIDAK,YA,YA,0
trial,-,YA,TIDAK,TIDAK,0
trial,-,YA,TIDAK,TIDAK,0
kerjanya,kerja,YA,YA,TIDAK,0
error,-,YA,TIDAK,TIDAK,0
error,-,YA,TIDAK,TIDAK,0
trial,-,YA,TIDAK,TIDAK,0
dimana,mana,YA,YA,TIDAK,0
dimana,mana,YA,YA,TIDAK,0
error,-,YA,TIDAK,TIDAK,0
perubahan,perubahan,TIDAK,YA,YA,0
perubahan,perubahan,TIDAK,YA,YA,0
dimana,mana,YA,YA,TIDAK,0
aksi,aksi,TIDAK,YA,YA,0
perubahan,perubahan,TIDAK,YA,YA,0
aksi,aksi,TIDAK,YA,YA,0
kita,kita,TIDAK,YA,YA,0
aksi,aksi,TIDAK,YA,YA,0
berikan,berikan,TIDAK,YA,YA,0
kita,kita,TIDAK,YA,YA,0
kita,kita,TIDAK,YA,YA,0
berikan,berikan,TIDAK,YA,YA,0
berikan,berikan,TIDAK,YA,YA,0
yaitu,yaitu,TIDAK,YA,YA,0
yaitu,yaitu,TIDAK,YA,YA,0
yaitu,yaitu,TIDAK,YA,YA,0
aksinya,aksi,YA,YA,TIDAK,0
aksinya,aksi,YA,YA,TIDAK,0
aksinya,aksi,YA,YA,TIDAK,0
mencari,mencari,TIDAK,YA,YA,0
mencari,mencari,TIDAK,YA,YA,0
mencari,mencari,TIDAK,YA,YA,0
episodenya,episode,YA,YA,TIDAK,0
episodenya,episode,YA,YA,TIDAK,0
episodenya,episode,YA,YA,TIDAK,0
algoritma,-,YA,TIDAK,TIDAK,0
algoritma,-,YA,TIDAK,TIDAK,0
sering,sering,TIDAK,YA,YA,0
algoritma,-,YA,TIDAK,TIDAK,0
sering,sering,TIDAK,YA,YA,0
sering,sering,TIDAK,YA,YA,0
line,-,YA,TIDAK,TIDAK,0
line,-,YA,TIDAK,TIDAK,0
line,-,YA,TIDAK,TIDAK,0
follower,-,YA,TIDAK,TIDAK,0
follower,-,YA,TIDAK,TIDAK,0
follower,-,YA,TIDAK,TIDAK,0
mobile,-,YA,TIDAK,TIDAK,0
mobile,-,YA,TIDAK,TIDAK,0
mobile,-,YA,TIDAK,TIDAK,0
menemukan,menemukan,TIDAK,YA,YA,0
menemukan,menemukan,TIDAK,YA,YA,0
tepat,tepat,TIDAK,YA,YA,0
menemukan,menemukan,TIDAK,YA,YA,0
tepat,tepat,TIDAK,YA,YA,0
tepat,tepat,TIDAK,YA,YA,0
menggerakkan,menggerakkan,TIDAK,YA,YA,0
menggerakkan,menggerakkan,TIDAK,YA,YA,0
menggerakkan,menggerakkan,TIDAK,YA,YA,0
seekor,ekor,YA,YA,TIDAK,0
seekor,ekor,YA,YA,TIDAK,0
burung,burung,TIDAK,YA,YA,0
seekor,ekor,YA,YA,TIDAK,0
burung,burung,TIDAK,YA,YA,0
beberapa,beberapa,TIDAK,YA,YA,0
burung,burung,TIDAK,YA,YA,0
beberapa,beberapa,TIDAK,YA,YA,0
cukup,cukup,TIDAK,YA,YA,0
beberapa,beberapa,TIDAK,YA,YA,0
sederhana,sederhana,TIDAK,YA,YA,0
cukup,cukup,TIDAK,YA,YA,0
cukup,cukup,TIDAK,YA,YA,0
sederhana,sederhana,TIDAK,YA,YA,0
sederhana,sederhana,TIDAK,YA,YA,0
dilakukan,laku,YA,YA,TIDAK,0
pendekatan,pendekatan,TIDAK,YA,YA,0
dilakukan,laku,YA,YA,TIDAK,0
dilakukan,laku,YA,YA,TIDAK,0
tetapi,tetapi,TIDAK,YA,YA,0
pendekatan,pendekatan,TIDAK,YA,YA,0
pendekatan,pendekatan,TIDAK,YA,YA,0
pendekatan,pendekatan,TIDAK,YA,YA,0
berbeda,berbeda,TIDAK,YA,YA,0
tetapi,tetapi,TIDAK,YA,YA,0
tetapi,tetapi,TIDAK,YA,YA,0
tetapi,tetapi,TIDAK,YA,YA,0
berbeda,berbeda,TIDAK,YA,YA,0
berbeda,berbeda,TIDAK,YA,YA,0
berbeda,berbeda,TIDAK,YA,YA,0
diatas,atas,YA,YA,TIDAK,0
diatas,atas,YA,YA,TIDAK,0
diatas,atas,YA,YA,TIDAK,0
bergantung,bergantung,TIDAK,YA,YA,0
diatas,atas,YA,YA,TIDAK,0
bergantung,bergantung,TIDAK,YA,YA,0
bergantung,bergantung,TIDAK,YA,YA,0
ada,ada,TIDAK,YA,YA,0
bergantung,bergantung,TIDAK,YA,YA,0
ada,ada,TIDAK,YA,YA,0
ada,ada,TIDAK,YA,YA,0
punishment,-,YA,TIDAK,TIDAK,0
ada,ada,TIDAK,YA,YA,0
semakin,semakin,TIDAK,YA,YA,0
punishment,-,YA,TIDAK,TIDAK,0
punishment,-,YA,TIDAK,TIDAK,0
kecil,kecil,TIDAK,YA,YA,0
semakin,semakin,TIDAK,YA,YA,0
punishment,-,YA,TIDAK,TIDAK,0
semakin,semakin,TIDAK,YA,YA,0
semakin,semakin,TIDAK,YA,YA,0
kecil,kecil,TIDAK,YA,YA,0
ditampilkan,tampil,YA,YA,TIDAK,0
kecil,kecil,TIDAK,YA,YA,0
kecil,kecil,TIDAK,YA,YA,0
lagi,lagi,TIDAK,YA,YA,0
ditampilkan,tampil,YA,YA,TIDAK,0
maka,maka,TIDAK,YA,YA,0
ditampilkan,tampil,YA,YA,TIDAK,0
lagi,lagi,TIDAK,YA,YA,0
menjadi,menjadi,TIDAK,YA,YA,0
ditampilkan,tampil,YA,YA,TIDAK,0
lagi,lagi,TIDAK,YA,YA,0
maka,maka,TIDAK,YA,YA,0
sejenis,sejenis,TIDAK,YA,YA,0
lagi,lagi,TIDAK,YA,YA,0
maka,maka,TIDAK,YA,YA,0
menjadi,menjadi,TIDAK,YA,YA,0
n,n,TIDAK,YA,YA,0
maka,maka,TIDAK,YA,YA,0
menjadi,menjadi,TIDAK,YA,YA,0
sejenis,sejenis,TIDAK,YA,YA,0
gram,gram,TIDAK,YA,YA,0
menjadi,menjadi,TIDAK,YA,YA,0
sejenis,sejenis,TIDAK,YA,YA,0
n,n,TIDAK,YA,YA,0
sejenis,sejenis,TIDAK,YA,YA,0
n,n,TIDAK,YA,YA,0
gram,gram,TIDAK,YA,YA,0
levenshtein,-,YA,TIDAK,TIDAK,0
n,n,TIDAK,YA,YA,0
gram,gram,TIDAK,YA,YA,0
gram,gram,TIDAK,YA,YA,0
levenshtein,-,YA,TIDAK,TIDAK,0
distance,-,YA,TIDAK,TIDAK,0
levenshtein,-,YA,TIDAK,TIDAK,0
hanya,hanya,TIDAK,YA,YA,0
levenshtein,-,YA,TIDAK,TIDAK,0
distance,-,YA,TIDAK,TIDAK,0
distance,-,YA,TIDAK,TIDAK,0
hanya,hanya,TIDAK,YA,YA,0
distance,-,YA,TIDAK,TIDAK,0
sebatas,batas,YA,YA,TIDAK,0
hanya,hanya,TIDAK,YA,YA,0
hanya,hanya,TIDAK,YA,YA,0
identifikasi,identifikasi,TIDAK,YA,YA,0
kandidat,kandidat,TIDAK,YA,YA,0
sebatas,batas,YA,YA,TIDAK,0
sebatas,batas,YA,YA,TIDAK,0
identifikasi,identifikasi,TIDAK,YA,YA,0
sebatas,batas,YA,YA,TIDAK,0
diketahui,tahu,YA,YA,TIDAK,0
identifikasi,identifikasi,TIDAK,YA,YA,0
kandidat,kandidat,TIDAK,YA,YA,0
identifikasi,identifikasi,TIDAK,YA,YA,0
kandidat,kandidat,TIDAK,YA,YA,0
dahulu,dahulu,TIDAK,YA,YA,0
kandidat,kandidat,TIDAK,YA,YA,0
sedangkan,sedangkan,TIDAK,YA,YA,0
diketahui,tahu,YA,YA,TIDAK,0
diketahui,tahu,YA,YA,TIDAK,0
diketahui,tahu,YA,YA,TIDAK,0
dahulu,dahulu,TIDAK,YA,YA,0
dahulu,dahulu,TIDAK,YA,YA,0
dahulu,dahulu,TIDAK,YA,YA,0
diharapkan,harap,YA,YA,TIDAK,0
sedangkan,sedangkan,TIDAK,YA,YA,0
sedangkan,sedangkan,TIDAK,YA,YA,0
sedangkan,sedangkan,TIDAK,YA,YA,0
sendiri,sendiri,TIDAK,YA,YA,0
diharapkan,harap,YA,YA,TIDAK,0
data,data,TIDAK,YA,YA,0
diharapkan,harap,YA,YA,TIDAK,0
sendiri,sendiri,TIDAK,YA,YA,0
diharapkan,harap,YA,YA,TIDAK,0
sendiri,sendiri,TIDAK,YA,YA,0
sendiri,sendiri,TIDAK,YA,YA,0
dikumpul,kumpul,YA,YA,TIDAK,0
data,data,TIDAK,YA,YA,0
alasan,alasan,TIDAK,YA,YA,0
data,data,TIDAK,YA,YA,0
data,data,TIDAK,YA,YA,0
dikumpul,kumpul,YA,YA,TIDAK,0
utama,utama,TIDAK,YA,YA,0
dikumpul,kumpul,YA,YA,TIDAK,0
secara,secara,TIDAK,YA,YA,0
alasan,alasan,TIDAK,YA,YA,0
dikumpul,kumpul,YA,YA,TIDAK,0
alasan,alasan,TIDAK,YA,YA,0
terbuka,terbuka,TIDAK,YA,YA,0
utama,utama,TIDAK,YA,YA,0
alasan,alasan,TIDAK,YA,YA,0
secara,secara,TIDAK,YA,YA,0
open,open,TIDAK,YA,YA,0
utama,utama,TIDAK,YA,YA,0
terbuka,terbuka,TIDAK,YA,YA,0
utama,utama,TIDAK,YA,YA,0
secara,secara,TIDAK,YA,YA,0
source,-,YA,TIDAK,TIDAK,0
secara,secara,TIDAK,YA,YA,0
open,open,TIDAK,YA,YA,0
terbuka,terbuka,TIDAK,YA,YA,0
terbuka,terbuka,TIDAK,YA,YA,0
open,open,TIDAK,YA,YA,0
source,-,YA,TIDAK,TIDAK,0
open,open,TIDAK,YA,YA,0
multi,-,YA,TIDAK,TIDAK,0
platform,platform,TIDAK,YA,YA,0
source,-,YA,TIDAK,TIDAK,0
multi,-,YA,TIDAK,TIDAK,0
source,-,YA,TIDAK,TIDAK,0
platform,platform,TIDAK,YA,YA,0
multi,-,YA,TIDAK,TIDAK,0
dijalankan,jalan,YA,YA,TIDAK,0
multi,-,YA,TIDAK,TIDAK,0
operasi,operasi,TIDAK,YA,YA,0
platform,platform,TIDAK,YA,YA,0
platform,platform,TIDAK,YA,YA,0
dijalankan,jalan,YA,YA,TIDAK,0
windows,-,YA,TIDAK,TIDAK,0
operasi,operasi,TIDAK,YA,YA,0
dijalankan,jalan,YA,YA,TIDAK,0
dijalankan,jalan,YA,YA,TIDAK,0
operasi,operasi,TIDAK,YA,YA,0
linux,-,YA,TIDAK,TIDAK,0
operasi,operasi,TIDAK,YA,YA,0
windows,-,YA,TIDAK,TIDAK,0
windows,-,YA,TIDAK,TIDAK,0
windows,-,YA,TIDAK,TIDAK,0
macos,-,YA,TIDAK,TIDAK,0
linux,-,YA,TIDAK,TIDAK,0
selain,selain,TIDAK,YA,YA,0
macos,-,YA,TIDAK,TIDAK,0
linux,-,YA,TIDAK,TIDAK,0
selain,selain,TIDAK,YA,YA,0
itu,itu,TIDAK,YA,YA,0
linux,-,YA,TIDAK,TIDAK,0
merupakan,merupakan,TIDAK,YA,YA,0
itu,itu,TIDAK,YA,YA,0
macos,-,YA,TIDAK,TIDAK,0
macos,-,YA,TIDAK,TIDAK,0
macos,-,YA,TIDAK,TIDAK,0
fleksibel,fleksibel,TIDAK,YA,YA,0
merupakan,merupakan,TIDAK,YA,YA,0
selain,selain,TIDAK,YA,YA,0
selain,selain,TIDAK,YA,YA,0
selain,selain,TIDAK,YA,YA,0
memudahkan,memudahkan,TIDAK,YA,YA,0
fleksibel,fleksibel,TIDAK,YA,YA,0
itu,itu,TIDAK,YA,YA,0
itu,itu,TIDAK,YA,YA,0
itu,itu,TIDAK,YA,YA,0
merupakan,merupakan,TIDAK,YA,YA,0
memudahkan,memudahkan,TIDAK,YA,YA,0
pembuatan,pembuatan,TIDAK,YA,YA,0
merupakan,merupakan,TIDAK,YA,YA,0
merupakan,merupakan,TIDAK,YA,YA,0
pembuatan,pembuatan,TIDAK,YA,YA,0
membangun,membangun,TIDAK,YA,YA,0
fleksibel,fleksibel,TIDAK,YA,YA,0
fleksibel,fleksibel,TIDAK,YA,YA,0
membangun,membangun,TIDAK,YA,YA,0
fleksibel,fleksibel,TIDAK,YA,YA,0
memudahkan,memudahkan,TIDAK,YA,YA,0
memudahkan,memudahkan,TIDAK,YA,YA,0
berbasis,bas,YA,YA,TIDAK,0
memudahkan,memudahkan,TIDAK,YA,YA,0
pembuatan,pembuatan,TIDAK,YA,YA,0
pembuatan,pembuatan,TIDAK,YA,YA,0
berbasis,bas,YA,YA,TIDAK,0
pembuatan,pembuatan,TIDAK,YA,YA,0
membangun,membangun,TIDAK,YA,YA,0
membangun,membangun,TIDAK,YA,YA,0
web,-,YA,TIDAK,TIDAK,0
membangun,membangun,TIDAK,YA,YA,0
membantu,membantu,TIDAK,YA,YA,0
web,-,YA,TIDAK,TIDAK,0
berbasis,bas,YA,YA,TIDAK,0
berbasis,bas,YA,YA,TIDAK,0
mengurangi,mengurangi,TIDAK,YA,YA,0
membantu,membantu,TIDAK,YA,YA,0
berbasis,bas,YA,YA,TIDAK,0
penulisan,penulisan,TIDAK,YA,YA,0
mengurangi,mengurangi,TIDAK,YA,YA,0
web,-,YA,TIDAK,TIDAK,0
web,-,YA,TIDAK,TIDAK,0
membantu,membantu,TIDAK,YA,YA,0
penulisan,penulisan,TIDAK,YA,YA,0
membantu,membantu,TIDAK,YA,YA,0
web,-,YA,TIDAK,TIDAK,0
mengurangi,mengurangi,TIDAK,YA,YA,0
khususnya,khusus,YA,YA,TIDAK,0
mengurangi,mengurangi,TIDAK,YA,YA,0
membantu,membantu,TIDAK,YA,YA,0
penulisan,penulisan,TIDAK,YA,YA,0
penulisan,penulisan,TIDAK,YA,YA,0
khususnya,khusus,YA,YA,TIDAK,0
mengurangi,mengurangi,TIDAK,YA,YA,0
kp,-,YA,TIDAK,TIDAK,0
penulisan,penulisan,TIDAK,YA,YA,0
khususnya,khusus,YA,YA,TIDAK,0
ta,ta,TIDAK,YA,YA,0
khususnya,khusus,YA,YA,TIDAK,0
kp,-,YA,TIDAK,TIDAK,0
mahasiswa,mahasiswa,TIDAK,YA,YA,0
ta,ta,TIDAK,YA,YA,0
khususnya,khusus,YA,YA,TIDAK,0
kp,-,YA,TIDAK,TIDAK,0
fakultas,fakultas,TIDAK,YA,YA,0
kp,-,YA,TIDAK,TIDAK,0
mahasiswa,mahasiswa,TIDAK,YA,YA,0
ta,ta,TIDAK,YA,YA,0
ta,ta,TIDAK,YA,YA,0
teknik,teknik,TIDAK,YA,YA,0
fakultas,fakultas,TIDAK,YA,YA,0
mahasiswa,mahasiswa,TIDAK,YA,YA,0
kp,-,YA,TIDAK,TIDAK,0
mahasiswa,mahasiswa,TIDAK,YA,YA,0
di,di,TIDAK,YA,YA,0
fakultas,fakultas,TIDAK,YA,YA,0
teknik,teknik,TIDAK,YA,YA,0
ta,ta,TIDAK,YA,YA,0
fakultas,fakultas,TIDAK,YA,YA,0
universitas,universitas,TIDAK,YA,YA,0
teknik,teknik,TIDAK,YA,YA,0
mahasiswa,mahasiswa,TIDAK,YA,YA,0
di,di,TIDAK,YA,YA,0
teknik,teknik,TIDAK,YA,YA,0
katolik,katolik,TIDAK,YA,YA,0
