kata_typo,kata_benar,ini_typo,ini_baku,ini_valid
illmiah,ilmiah,YA,YA,YA
adlaah,adalah,YA,YA,YA
adalah,adalah,TIDAK,YA,YA
ilmiah,ilmiah,TIDAK,YA,YA
praktek,praktik,YA,TIDAK,YA
praktik,praktik,TIDAK,YA,YA
yang,yang,TIDAK,YA,YA
laporan,laporan,TIDAK,YA,YA
kata,kata,TIDAK,YA,YA
dalam,dalam,TIDAK,YA,YA
mahasiswa,mahasiswa,TIDAK,YA,YA
dengan,dengan,TIDAK,YA,YA
dan,dan,TIDAK,YA,YA
sering,sering,TIDAK,YA,YA
baku,baku,TIDAK,YA,YA
tidak,tidak,TIDAK,YA,YA
atau,atau,TIDAK,YA,YA
karya,karya,TIDAK,YA,YA
tulis,tulis,TIDAK,YA,YA
harus,harus,TIDAK,YA,YA
typo,,YA,TIDAK,TIDAK
di,di,TIDAK,YA,YA
akhir,akhir,TIDAK,YA,YA
penulisan,penulisan,TIDAK,YA,YA
menggunakan,menggunakan,TIDAK,YA,YA
sesuai,sesuai,TIDAK,YA,YA
bahasa,bahasa,TIDAK,YA,YA
indonesia,indonesia,TIDAK,YA,YA
ditemukan,temu,YA,YA,TIDAK
kesalahan,kesalahan,TIDAK,YA,YA
sengaja,sengaja,TIDAK,YA,YA
dapat,dapat,TIDAK,YA,YA
membantu,membantu,TIDAK,YA,YA
merupakan,merupakan,TIDAK,YA,YA
hal,hal,TIDAK,YA,YA
wajib,wajib,TIDAK,YA,YA
bagi,bagi,TIDAK,YA,YA
terutama,terutama,TIDAK,YA,YA
sudah,sudah,TIDAK,YA,YA
berada,berada,TIDAK,YA,YA
semester,semester,TIDAK,YA,YA
mengerjakan,mengerjakan,TIDAK,YA,YA
kerja,kerja,TIDAK,YA,YA
kp,,YA,TIDAK,TIDAK
tugas,tugas,TIDAK,YA,YA
ta,ta,TIDAK,YA,YA
mengikuti,mengikuti,TIDAK,YA,YA
standar,standar,TIDAK,YA,YA
telah,telah,TIDAK,YA,YA
ditentukan,tentu,YA,YA,TIDAK
selain,selain,TIDAK,YA,YA
itu,itu,TIDAK,YA,YA
penyusunan,penyusunan,TIDAK,YA,YA
kaidah,kaidah,TIDAK,YA,YA
ada,ada,TIDAK,YA,YA
kamus,kamus,TIDAK,YA,YA
besar,besar,TIDAK,YA,YA
kbbi,KBBI,TIDAK,TIDAK,TIDAK
namun,namun,TIDAK,YA,YA
pada,pada,TIDAK,YA,YA
praktiknya,praktik,YA,YA,TIDAK
salah,salah,TIDAK,YA,YA
paling,paling,TIDAK,YA,YA
adanya,adanya,TIDAK,YA,YA
ketik,ketik,TIDAK,YA,YA
terjadi,terjadi,TIDAK,YA,YA
secara,secara,TIDAK,YA,YA
juga,juga,TIDAK,YA,YA
kadang,kadang,TIDAK,YA,YA
kesulitan,kesulitan,TIDAK,YA,YA
mencari,mencari,TIDAK,YA,YA
sehingga,sehingga,TIDAK,YA,YA
dikerjakan,kerja,YA,YA,TIDAK
melihat,melihat,TIDAK,YA,YA
masalah,masalah,TIDAK,YA,YA
tersebut,tersebut,TIDAK,YA,YA
penulis,penulis,TIDAK,YA,YA
memberikan,memberikan,TIDAK,YA,YA
solusi,solusi,TIDAK,YA,YA
membuatkan,membuatkan,TIDAK,YA,YA
sebuah,buah,YA,YA,TIDAK
program,program,TIDAK,YA,YA
mendeteksi,mendeteksi,TIDAK,YA,YA
sekaligus,sekaligus,TIDAK,YA,YA
menemukan,menemukan,TIDAK,YA,YA
ini,ini,TIDAK,YA,YA
untuk,untuk,TIDAK,YA,YA
mengurangi,mengurangi,TIDAK,YA,YA
universitas,universitas,TIDAK,YA,YA
katolik,katolik,TIDAK,YA,YA
de,de,TIDAK,YA,YA
la,la,TIDAK,YA,YA
salle,,YA,TIDAK,TIDAK
manado,,YA,TIDAK,TIDAK
akan,akan,TIDAK,YA,YA
melakukan,melakukan,TIDAK,YA,YA
setiap,setiap,TIDAK,YA,YA
pengecekan,pengecekan,TIDAK,YA,YA
pendeteksian,pendeteksian,TIDAK,YA,YA
metode,metode,TIDAK,YA,YA
fakultas,fakultas,TIDAK,YA,YA
teknik,teknik,TIDAK,YA,YA
daring,daring,TIDAK,YA,YA
mengecek,mengecek,TIDAK,YA,YA
jika,jika,TIDAK,YA,YA
scraping,,YA,TIDAK,TIDAK
merriam,,YA,TIDAK,TIDAK
webster,,YA,TIDAK,TIDAK
learning,,YA,TIDAK,TIDAK
sebagai,sebagai,TIDAK,YA,YA
cara,cara,TIDAK,YA,YA
istilah,istilah,TIDAK,YA,YA
asing,asing,TIDAK,YA,YA
text,,YA,TIDAK,TIDAK
data,data,TIDAK,YA,YA
hasil,hasil,TIDAK,YA,YA
manfaat,manfaat,TIDAK,YA,YA
hanya,hanya,TIDAK,YA,YA
dictionary,,YA,TIDAK,TIDAK
pendeteksi,deteksi,YA,YA,TIDAK
mahasiwa,,YA,TIDAK,TIDAK
reinformance,,YA,TIDAK,TIDAK
studi,studi,TIDAK,YA,YA
kasus,kasus,TIDAK,YA,YA
proposal,proposal,TIDAK,YA,YA
disusun,susun,YA,YA,TIDAK
oleh,oleh,TIDAK,YA,YA
refsi,,YA,TIDAK,TIDAK
gregorius,,YA,TIDAK,TIDAK
sangkay,,YA,TIDAK,TIDAK
bab,bab,TIDAK,YA,YA
i,i,TIDAK,YA,YA
pendahuluan,pendahuluan,TIDAK,YA,YA
latar,latar,TIDAK,YA,YA
belakang,belakang,TIDAK,YA,YA
kali,kali,TIDAK,YA,YA
banyaknya,banyak,YA,YA,TIDAK
sumber,sumber,TIDAK,YA,YA
kalimat,kalimat,TIDAK,YA,YA
dipecah,pecah,YA,YA,TIDAK
menjadi,menjadi,TIDAK,YA,YA
per,per,TIDAK,YA,YA
dicek,cek,YA,YA,TIDAK
ke,ke,TIDAK,YA,YA
web,,YA,TIDAK,TIDAK
request,,YA,TIDAK,TIDAK
internet,,YA,TIDAK,TIDAK
memeriksa,memeriksa,TIDAK,YA,YA
jumlah,jumlah,TIDAK,YA,YA
kendala,kendala,TIDAK,YA,YA
kecepatan,kecepatan,TIDAK,YA,YA
digunakan,guna,YA,YA,TIDAK
